DRUG_NAME,ATC_CODE,FORM.STRENGTH,ITEM_CODE,First,Last,,Type,Delivery route,
AZACITIDINE,L01BC07,Powder for injection 100 mg,12771E,21/12/2021,31/05/2022,,Chemotherapy,Subcutaneous,
AZACITIDINE,L01BC07,Powder for injection 100 mg,12784W,9/12/2021,26/05/2022,,Chemotherapy,Subcutaneous,
IMATINIB,L01EA01,Capsule 400 mg (as mesilate),10933K,24/02/2022,25/04/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 100 mg (as mesilate),10940T,11/10/2021,11/10/2021,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 100 mg (as mesilate),11757T,7/01/2022,8/05/2022,,Targeted,Oral,
IMATINIB,L01EA01,Tablet 100 mg (as mesilate),11769K,4/03/2021,17/05/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 100 mg (as mesilate),11777W,9/09/2021,9/09/2021,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 400 mg (as mesilate),12681K,19/12/2021,9/05/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 100 mg (as mesilate),12710Y,20/10/2021,22/04/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 400 mg (as mesilate),12711B,8/11/2021,31/05/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 400 mg (as mesilate),12723P,17/11/2021,18/05/2022,,Targeted,Oral,
IMATINIB,L01EA01,Capsule 100 mg (as mesilate),12759M,28/03/2022,23/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 100 mg,12842X,11/03/2022,30/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 50 mg,12843Y,15/04/2022,28/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 100 mg,12859T,1/03/2022,15/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 50 mg,12860W,25/05/2022,25/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 70 mg,12866E,28/04/2022,29/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 70 mg,12886F,23/03/2022,23/03/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 100 mg,12889J,14/03/2022,30/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 70 mg,12890K,17/03/2022,9/04/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 100 mg,12902C,26/02/2022,25/05/2022,,Targeted,Oral,
DASATINIB,L01EA02,Tablet 70 mg,12903D,26/04/2022,28/05/2022,,Targeted,Oral,
NILOTINIB,L01EA03,Capsule 200 mg (as hydrochloride monohydrate),12858R,3/03/2022,31/05/2022,,Targeted,Oral,
NILOTINIB,L01EA03,Capsule 150 mg (as hydrochloride monohydrate),12868G,23/02/2022,30/05/2022,,Targeted,Oral,
PONATINIB,L01EA05,Tablet 15 mg (as hydrochloride),11454W,20/05/2022,20/05/2022,,Targeted,Oral,
OSIMERTINIB,L01EB04,Tablet 40 mg,12233W,30/01/2021,30/05/2022,,Targeted,Oral,
ENCORAFENIB,L01EC03,Capsule 75 mg,12814K,7/01/2022,31/05/2022,,Targeted,Oral,
ENCORAFENIB,L01EC03,Capsule 75 mg,12815L,13/01/2022,13/05/2022,,Targeted,Oral,
BRIGATINIB,L01ED04,Tablet 90 mg,11974F,7/09/2021,23/05/2022,,Targeted,Oral,
TRAMETINIB,L01EE01,Tablet 500 micrograms,11821E,23/06/2021,23/12/2021,,Targeted,Oral,
PALBOCICLIB,L01EF01,Tablet 75 mg,12818P,20/01/2022,31/05/2022,,Targeted,Oral,
PALBOCICLIB,L01EF01,Tablet 100 mg,12819Q,18/01/2022,31/05/2022,,Targeted,Oral,
PALBOCICLIB,L01EF01,Tablet 125 mg,12822W,30/12/2021,31/05/2022,,Targeted,Oral,
EVEROLIMUS,L01EG02,"Tablet, dispersible, 3 mg",11599L,22/03/2022,17/05/2022,,Targeted,Oral,
EVEROLIMUS,L01EG02,"Tablet, dispersible, 3 mg",11608Y,8/04/2021,29/05/2022,,Targeted,Oral,
ACALABRUTINIB,L01EL02,Capsule 100 mg,12826C,11/02/2022,27/05/2022,,Targeted,Oral,
IDELALISIB,L01EM01,Tablet 100 mg,11170X,19/04/2022,7/05/2022,,Targeted,Oral,
IDELALISIB,L01EM01,Tablet 150 mg,12812H,12/04/2022,11/05/2022,,Targeted,Oral,
NINTEDANIB,L01EX09,Capsule 150 mg,12953R,16/05/2022,16/05/2022,,Targeted,Oral,
NINTEDANIB,L01EX09,Capsule 100 mg,12967L,14/05/2022,26/05/2022,,Targeted,Oral,
MIDOSTAURIN,L01EX10,Capsule 25 mg,11518F,16/12/2021,17/05/2022,,Targeted,Oral,
CETUXIMAB,L01XC06,Solution for I.V. infusion 500 mg in 100 mL,12817N,5/03/2022,6/04/2022,,Targeted,Intravenous,
CETUXIMAB,L01XC06,Solution for I.V. infusion 500 mg in 100 mL,12821T,3/02/2022,24/02/2022,,Targeted,Intravenous,
BEVACIZUMAB,L01XC07,Solution for I.V. infusion 100 mg in 4 mL,12479T,18/05/2021,13/04/2022,,Targeted,Intravenous,
BEVACIZUMAB,L01XC07,Solution for I.V. infusion 100 mg in 4 mL,12508H,18/05/2021,13/04/2022,,Targeted,Intravenous,
OFATUMUMAB,L01XC10,Solution for injection 20 mg in 0.4 mL pre-filled pen,12641H,18/10/2021,11/04/2022,,Targeted,Subcutaneous,PBS indication for cancer (CLL) seems to be discontinued due to limited use (see https://www.eviq.org.au/haematology-and-bmt/leukaemias/chronic-lymphocytic-leukaemia/1877-ofatumumab-and-chlorambucil-discontinued). Now only PBS-listed for multiple sclerosis (non-cancer).
OFATUMUMAB,L01XC10,Solution for injection 20 mg in 0.4 mL pre-filled pen,12642J,2/10/2021,15/03/2022,,Targeted,Subcutaneous,
IPILIMUMAB,L01XC11,Injection concentrate for I.V. infusion 50 mg in 10 mL,12304N,20/05/2021,19/01/2022,,Immunotherapy,Intravenous,
IPILIMUMAB,L01XC11,Injection concentrate for I.V. infusion 50 mg in 10 mL,12322M,13/08/2021,22/01/2022,,Immunotherapy,Intravenous,
IPILIMUMAB,L01XC11,Injection concentrate for I.V. infusion 50 mg in 10 mL,12324P,8/07/2021,8/07/2021,,Immunotherapy,Intravenous,
IPILIMUMAB,L01XC11,Injection concentrate for I.V. infusion 50 mg in 10 mL,12583G,2/07/2021,4/03/2022,,Immunotherapy,Intravenous,
IPILIMUMAB,L01XC11,Injection concentrate for I.V. infusion 50 mg in 10 mL,12601F,20/06/2021,3/04/2022,,Immunotherapy,Intravenous,
BRENTUXIMAB VEDOTIN,L01XC12,Powder for I.V. infusion 50 mg,11087M,28/10/2021,2/03/2022,,Targeted,Intravenous,
BRENTUXIMAB VEDOTIN,L01XC12,Powder for I.V. infusion 50 mg,12656D,9/10/2021,19/02/2022,,Targeted,Intravenous,
OBINUTUZUMAB,L01XC15,Solution for I.V. infusion 1000 mg in 40 mL,12193R,21/01/2021,9/03/2022,,Targeted,Intravenous,
OBINUTUZUMAB,L01XC15,Solution for I.V. infusion 1000 mg in 40 mL,12204H,19/01/2021,28/02/2022,,Targeted,Intravenous,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12303M,11/01/2022,11/01/2022,,Immunotherapy,Intravenous,
